,,,,,,,,,,,,,
Vesicles green Position,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,
Vesicles green Position X,Vesicles green Position Y,Vesicles green Position Z,Unit,Category,Collection,Birth [s],Death [s],CellID,ID,OriginalID,Original Component Name,Original Component ID,Original Image Name
336.032501,-208.664352,-3.12286,µm,Vesicles green, Vesicles green Position,0,1,0,200032611,200032611,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
336.602814,-207.484558,-3.037215,µm,Vesicles green, Vesicles green Position,0,1,0,200032612,200032612,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
342.46637,-218.211853,-1.487234,µm,Vesicles green, Vesicles green Position,0,1,0,200032613,200032613,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
364.204193,-193.411102,-2.772798,µm,Vesicles green, Vesicles green Position,0,1,1,200032614,200032614,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
364.327332,-192.912674,-2.702901,µm,Vesicles green, Vesicles green Position,0,1,1,200032615,200032615,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
362.271912,-189.327026,-1.684699,µm,Vesicles green, Vesicles green Position,0,1,1,200032616,200032616,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
368.890961,-189.232239,-0.897301,µm,Vesicles green, Vesicles green Position,0,1,1,200032617,200032617,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
328.536957,-190.077698,-2.972812,µm,Vesicles green, Vesicles green Position,0,1,2,200032618,200032618,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
329.987274,-193.514221,-0.674628,µm,Vesicles green, Vesicles green Position,0,1,2,200032619,200032619,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
337.776093,-206.9496,-3.130214,µm,Vesicles green, Vesicles green Position,0,1,3,200032620,200052657,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_[ims1_2026-08-20T16-15-22.389]
338.322388,-205.762558,-3.037839,µm,Vesicles green, Vesicles green Position,0,1,3,200032621,200052658,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_[ims1_2026-08-20T16-15-22.389]
343.315033,-203.589005,-2.808452,µm,Vesicles green, Vesicles green Position,0,1,3,200032622,200052659,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_[ims1_2026-08-20T16-15-22.389]
344.139313,-216.493164,-1.499034,µm,Vesicles green, Vesicles green Position,0,1,3,200032623,200052660,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_[ims1_2026-08-20T16-15-22.389]
365.936005,-191.628998,-2.782907,µm,Vesicles green, Vesicles green Position,0,1,4,200032624,200052661,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_[ims1_2026-08-20T16-15-22.389]
366.023224,-191.238678,-2.719862,µm,Vesicles green, Vesicles green Position,0,1,4,200032625,200052662,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_[ims1_2026-08-20T16-15-22.389]
363.989716,-187.613388,-1.695431,µm,Vesicles green, Vesicles green Position,0,1,4,200032626,200052663,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_[ims1_2026-08-20T16-15-22.389]
370.609894,-187.533173,-0.897363,µm,Vesicles green, Vesicles green Position,0,1,4,200032627,200052664,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_[ims1_2026-08-20T16-15-22.389]
330.2276,-188.36377,-3.017881,µm,Vesicles green, Vesicles green Position,0,1,5,200032628,200052665,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_[ims1_2026-08-20T16-15-22.389]
331.702118,-191.795166,-0.680269,µm,Vesicles green, Vesicles green Position,0,1,5,200032629,200052666,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_[ims1_2026-08-20T16-15-22.389]
205.289825,-97.390144,-2.571487,µm,Vesicles green, Vesicles green Position,0,1,6,200032630,200026830,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
210.749084,-99.469063,-0.827436,µm,Vesicles green, Vesicles green Position,0,1,6,200032631,200026831,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
212.119492,-97.325577,-0.814927,µm,Vesicles green, Vesicles green Position,0,1,6,200032632,200026832,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
212.415512,-97.688126,-0.737537,µm,Vesicles green, Vesicles green Position,0,1,6,200032633,200026833,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
195.126801,-92.980354,-0.879542,µm,Vesicles green, Vesicles green Position,0,1,7,200032634,200026834,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
194.196655,-88.609283,-1.605883,µm,Vesicles green, Vesicles green Position,0,1,7,200032635,200026835,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
207.008636,-95.684036,-2.580003,µm,Vesicles green, Vesicles green Position,0,1,8,200032636,200057622,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_[ims1_2026-08-20T16-15-22.389]
212.465744,-97.747314,-0.823539,µm,Vesicles green, Vesicles green Position,0,1,8,200032637,200057623,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_[ims1_2026-08-20T16-15-22.389]
213.847977,-95.617218,-0.849438,µm,Vesicles green, Vesicles green Position,0,1,8,200032638,200057624,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_[ims1_2026-08-20T16-15-22.389]
196.840912,-91.258484,-0.902498,µm,Vesicles green, Vesicles green Position,0,1,9,200032639,200057625,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_[ims1_2026-08-20T16-15-22.389]
195.920883,-86.885696,-1.60065,µm,Vesicles green, Vesicles green Position,0,1,9,200032640,200057626,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_2_R3D_[ims1_2026-08-20T16-15-22.389]
403.911011,-66.704041,-2.239211,µm,Vesicles green, Vesicles green Position,0,1,10,200032641,200033268,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
398.203552,-67.618622,-1.942183,µm,Vesicles green, Vesicles green Position,0,1,10,200032642,200033269,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
427.664032,-58.861031,-1.991697,µm,Vesicles green, Vesicles green Position,0,1,11,200032643,200033270,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
432.753754,-53.791382,-2.103401,µm,Vesicles green, Vesicles green Position,0,1,11,200032644,200033271,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
432.857605,-59.024635,-1.453834,µm,Vesicles green, Vesicles green Position,0,1,11,200032645,200033272,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
388.032318,-45.935406,-1.707335,µm,Vesicles green, Vesicles green Position,0,1,12,200032646,200033273,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
389.121399,-46.464752,-0.504895,µm,Vesicles green, Vesicles green Position,0,1,12,200032647,200033274,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
429.507965,-39.847069,-1.958018,µm,Vesicles green, Vesicles green Position,0,1,13,200032648,200033275,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
423.150269,-39.378922,0.029538,µm,Vesicles green, Vesicles green Position,0,1,13,200032649,200033276,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
424.911926,-33.024704,-1.073063,µm,Vesicles green, Vesicles green Position,0,1,13,200032650,200033277,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
405.625885,-64.976707,-2.245307,µm,Vesicles green, Vesicles green Position,0,1,14,200032651,200052840,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
399.902924,-65.895126,-1.914197,µm,Vesicles green, Vesicles green Position,0,1,14,200032652,200052841,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
429.408691,-57.138733,-1.998787,µm,Vesicles green, Vesicles green Position,0,1,15,200032653,200052842,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
434.460052,-52.09082,-2.113858,µm,Vesicles green, Vesicles green Position,0,1,15,200032654,200052843,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
434.596222,-57.342457,-1.482424,µm,Vesicles green, Vesicles green Position,0,1,15,200032655,200052844,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
385.990967,-37.549603,-1.814993,µm,Vesicles green, Vesicles green Position,0,1,16,200032656,200052845,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
389.734985,-44.205746,-1.677164,µm,Vesicles green, Vesicles green Position,0,1,16,200032657,200052846,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
390.839447,-44.745323,-0.496364,µm,Vesicles green, Vesicles green Position,0,1,16,200032658,200052847,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
431.229431,-38.150261,-1.964419,µm,Vesicles green, Vesicles green Position,0,1,17,200032659,200052848,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
424.874542,-37.651073,0.019865,µm,Vesicles green, Vesicles green Position,0,1,17,200032660,200052849,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
426.637726,-31.293097,-1.08086,µm,Vesicles green, Vesicles green Position,0,1,17,200032661,200052850,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_3_R3D_[ims1_2026-08-20T16-15-22.389]
57.4506,-26.894913,0.128276,µm,Vesicles green, Vesicles green Position,0,1,18,200032662,200033091,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
40.504646,-11.936948,1.263452,µm,Vesicles green, Vesicles green Position,0,1,18,200032663,200033092,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
53.950008,-13.210088,0.352457,µm,Vesicles green, Vesicles green Position,0,1,18,200032664,200033093,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
62.587776,-18.200777,1.391604,µm,Vesicles green, Vesicles green Position,0,1,18,200032665,200033094,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
57.818306,-28.08552,2.048586,µm,Vesicles green, Vesicles green Position,0,1,18,200032666,200033095,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
46.026196,-12.418168,2.969013,µm,Vesicles green, Vesicles green Position,0,1,18,200032667,200033096,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
60.360287,-15.335286,2.187798,µm,Vesicles green, Vesicles green Position,0,1,18,200032668,200033097,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
58.84996,-17.748713,2.84963,µm,Vesicles green, Vesicles green Position,0,1,18,200032669,200033098,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
58.469387,-14.719201,2.879187,µm,Vesicles green, Vesicles green Position,0,1,18,200032670,200033099,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
68.206512,-21.109552,2.580433,µm,Vesicles green, Vesicles green Position,0,1,18,200032671,200033100,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
43.776863,-7.433244,1.99097,µm,Vesicles green, Vesicles green Position,0,1,18,200032672,200033101,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
59.217773,-25.224586,0.101928,µm,Vesicles green, Vesicles green Position,0,1,19,200032673,200052761,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
42.226212,-10.212895,1.240034,µm,Vesicles green, Vesicles green Position,0,1,19,200032674,200052762,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
55.66787,-11.492013,0.327426,µm,Vesicles green, Vesicles green Position,0,1,19,200032675,200052763,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
64.303619,-16.456823,1.391131,µm,Vesicles green, Vesicles green Position,0,1,19,200032676,200052764,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
59.542252,-26.370646,2.045413,µm,Vesicles green, Vesicles green Position,0,1,19,200032677,200052765,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
47.747276,-10.701947,2.975039,µm,Vesicles green, Vesicles green Position,0,1,19,200032678,200052766,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
62.068329,-13.61992,2.181595,µm,Vesicles green, Vesicles green Position,0,1,19,200032679,200052767,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
60.583042,-16.036112,2.813497,µm,Vesicles green, Vesicles green Position,0,1,19,200032680,200052768,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
60.192951,-13.000962,2.876413,µm,Vesicles green, Vesicles green Position,0,1,19,200032681,200052769,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
