,,,,,,,,,,,,,
Vesicles red Position,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,
Vesicles red Position X,Vesicles red Position Y,Vesicles red Position Z,Unit,Category,Collection,Birth [s],Death [s],CellID,ID,OriginalID,Original Component Name,Original Component ID,Original Image Name
342.290955,-217.997925,-1.328807,µm,Vesicles red, Vesicles red Position,0,1,0,300033944,300033944,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
364.306,-193.410309,-2.496573,µm,Vesicles red, Vesicles red Position,0,1,1,300033945,300033945,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
361.794281,-189.641693,-1.329158,µm,Vesicles red, Vesicles red Position,0,1,1,300033946,300033946,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
369.12738,-189.756744,-0.776509,µm,Vesicles red, Vesicles red Position,0,1,1,300033947,300033947,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
368.845825,-188.783173,-0.680211,µm,Vesicles red, Vesicles red Position,0,1,1,300033948,300033948,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
329.151978,-190.318771,-2.910833,µm,Vesicles red, Vesicles red Position,0,1,2,300033949,300033949,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
330.340363,-193.931,-0.678358,µm,Vesicles red, Vesicles red Position,0,1,2,300033950,300033950,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
338.052185,-206.725647,-3.103033,µm,Vesicles red, Vesicles red Position,0,1,3,300033951,300059070,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_[ims1_2026-08-20T16-15-22.389]
343.181549,-203.576096,-2.999821,µm,Vesicles red, Vesicles red Position,0,1,3,300033952,300059071,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_[ims1_2026-08-20T16-15-22.389]
344.016174,-216.283524,-1.336029,µm,Vesicles red, Vesicles red Position,0,1,3,300033953,300059072,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n1_1_R3D_[ims1_2026-08-20T16-15-22.389]
